StoryID,SentenceID,tagged_text
0,0,"[('Pan', 'PropN'), ('Karsa', 'PropN'), ('ajaka', 'Prep'), ('pianakne', 'Verb'), ('muani', 'Noun'), ('nanggap', 'Noun'), ('upah', 'Part'), ('ngae', 'Verb'), ('semer', 'Noun'), ('di', 'Prep'), ('sisin', 'Noun'), ('rurunge', 'Part'), ('gede', 'Adj')]"
0,1,"[('Uli', 'Prep'), ('semeng', 'Noun'), ('maka', 'Noun'), ('sanja', 'Noun'), ('ia', 'Pronoun'), ('ajaka', 'Prep'), ('dadua', 'Num'), ('tusing', 'Adj'), ('mareren', 'Adj'), ('magae', 'Verb'), ('sajawaning', 'Noun'), ('di', 'Prep'), ('nuju', 'Noun'), ('madaarne', 'Noun')]"
0,2,"[('Kenehne', 'Noun'), ('apang', 'Prep'), ('gegaene', 'Verb'), ('enggal', 'Noun'), ('pragat', 'Part'), ('tur', 'Prep'), ('lantas', 'Adj'), ('nampi', 'Verb'), ('upahne', 'Noun')]"
0,3,"[('Telung', 'Noun'), ('dina', 'Part'), ('ia', 'Pronoun'), ('magae', 'Verb'), ('tan', 'Adj'), ('parerenan', 'Verb'), ('semere', 'Noun'), ('suba', 'Adj'), ('dalem', 'Part'), ('ngantiang', 'Verb'), ('pragat', 'Noun')]"
0,4,"[('Kendelne', 'Det'), ('tara', 'PropN'), ('bakat', 'PropN'), ('ban', 'PropN'), ('nuturang', 'Verb')]"
0,5,"[('Buin', 'Noun'), ('awai', 'Part'), ('magae', 'Verb'), ('pedas', 'Noun'), ('ia', 'Pronoun'), ('bakal', 'Verb'), ('nampi', 'Verb'), ('upah', 'Part'), ('liu', 'Num')]"
0,6,"[('Tan', 'Noun'), ('critanan', 'Part'), ('manine', 'Noun'), ('semeng', 'Part'), ('semere', 'Pronoun'), ('lakar', 'Verb'), ('katampiang', 'Verb'), ('teken', 'Prep'), ('ane', 'Prep'), ('mupahang', 'Noun')]"
0,7,"[('Petengne', 'Noun'), ('saget', 'Noun'), ('ujan', 'Part'), ('bales', 'Adj'), ('pesan', 'Adj'), ('madulurang', 'Verb'), ('angin', 'Noun')]"
0,8,"[('Apeteng', 'Det'), ('Pan', 'PropN'), ('Karsa', 'PropN'), ('tusing', 'Adj'), ('bisa', 'Verb'), ('pules', 'Verb'), ('ngenehang', 'Noun'), ('gegaene', 'Noun')]"
0,9,"[('Takut', 'Noun'), ('semere', 'Part'), ('bek', 'Noun'), ('kaurugin', 'Part'), ('tanah', 'Noun')]"
0,10,"[('Manine', 'Noun'), ('nu', 'Noun'), ('ruput', 'Part'), ('ia', 'Pronoun'), ('ajaka', 'Verb'), ('pianakne', 'Noun'), ('nelokin', 'Part'), ('semere', 'Noun'), ('sambilang', 'Part'), ('ngaba', 'Verb'), ('tambah', 'Noun')]"
0,11,"[('Saja', 'Noun'), ('lantas', 'Adj'), ('semere', 'Verb'), ('bek', 'Noun'), ('aji', 'Prep'), ('tanah', 'Noun')]"
0,12,"[('Pianakne', 'Noun'), ('sedih', 'Adj'), ('mapangenan', 'Adj')]"
0,13,"[('Pan', 'PropN'), ('Karsa', 'PropN'), ('masih', 'Prep'), ('mapangenan', 'Noun')]"
0,14,"[('Makelo', 'Noun'), ('ia', 'Pronoun'), ('bengong', 'Verb'), ('mangenang', 'Noun'), ('kalacuran', 'Part'), ('dewekne', 'Noun')]"
0,15,"[('Nangingke', 'Noun'), ('ia', 'Pronoun'), ('ngalih', 'Verb'), ('daya', 'Noun'), ('apanga', 'Part'), ('gegaene', 'Verb'), ('aluhan', 'Noun')]"
0,16,"[('Lantas', 'Noun'), ('ia', 'Pronoun'), ('ngomong', 'Verb'), ('teken', 'Prep'), ('pianakne', 'Noun')]"
0,17,"[('Ih', 'Part'), ('cening', 'Noun'), ('de', 'Part'), ('cai', 'Pronoun'), ('keweh', 'Verb'), ('buin', 'Adj'), ('akejep', 'Verb'), ('dong', 'Noun'), ('ilang', 'Noun'), ('tanahe', 'Part'), ('ane', 'Prep'), ('ngurugin', 'Noun'), ('semere', 'Part'), ('ne', 'Prep')]"
0,18,"[('Ditu', 'Noun'), ('lantas', 'Noun'), ('Pan', 'PropN'), ('Karsa', 'PropN'), ('ngantungan', 'Verb'), ('baju', 'Noun'), ('muah', 'Prep'), ('capilne', 'Verb'), ('ditongose', 'Noun'), ('ngantungan', 'Noun'), ('buka', 'Prep'), ('ane', 'Prep'), ('suba-suba', 'Noun')]"
0,19,"[('Pianakne', 'Noun'), ('masih', 'Prep'), ('nuutang', 'Noun'), ('tingkah', 'Part'), ('bapane', 'Pronoun')]"
0,20,"[('Buine', 'Noun'), ('tambahe', 'Part'), ('ane', 'Prep'), ('besikan', 'Verb'), ('bantangne', 'Noun'), ('tancebanga', 'Noun'), ('ka', 'Prep'), ('tanahe', 'Noun'), ('ane', 'Prep'), ('ngurugin', 'Noun'), ('semere', 'Part'), ('muah', 'Prep'), ('ane', 'Prep'), ('lenan', 'Verb'), ('pejaga', 'Noun'), ('di', 'Prep'), ('sisin', 'Noun'), ('semere', 'Part'), ('suud', 'Verb'), ('keto', 'Noun'), ('lantas', 'Adj'), ('kalahina', 'Verb'), ('mengkeb', 'Noun')]"
0,21,"[('kacerita', 'Noun'), ('anake', 'Noun'), ('sane', 'Prep'), ('mentas', 'Adj'), ('ditu', 'Adj'), ('pada', 'Verb'), ('ngon', 'Verb'), ('ningalin', 'Noun'), ('baju', 'Noun'), ('muah', 'Prep'), ('capil', 'Pronoun'), ('magantung', 'Verb'), ('paek', 'Noun'), ('semere', 'Part'), ('tur', 'Prep'), ('ane', 'Prep'), ('ngelahang', 'Verb'), ('tuara', 'Adj'), ('ada', 'Verb')]"
